query_id,query_class,sample,contig,start,end,context,scenario,cache_mode,http_cache_policy,decoder,browser,total_ms,open_ms,query_ms,actual_requests,actual_bytes,actual_unique_bytes,actual_duplicate_bytes,actual_request_rounds,reader_observed_requests,reader_observed_bytes,source_origin_reconciled,planned_requests,planned_bytes,dependency_rounds,bootstrap_cache_hits,directory_cache_hits,payload_cache_hits,decompression_ms,decompression_p50_ms,decompression_p95_ms,integrity_ms,decompression_wall_ms,decompression_task_ms,decode_ms,merge_ms,selected_chunks,selected_nodes,selected_traversals,canonical_hash,expected_canonical_hash,correctness,error
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,cold-library-transport-no-store,cold,no-store,pure-js,chromium,1577.7000000476837,12.200000047683716,1565.2999999523163,4,294358,294358,0,4,4,294358,true,4,294358,4,1,0,0,32.200000047683716,3.9000000953674316,8.299999952316284,32.80000019073486,32.200000047683716,32.200000047683716,1373.4000000953674,55.5,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,cold-library-normal-http-cache,cold,default,pure-js,chromium,1451.2000000476837,10.900000095367432,1440.1000001430511,4,294358,294358,0,4,4,294358,true,4,294358,4,1,0,0,42.799999952316284,5,12.699999809265137,32.49999976158142,42.89999985694885,42.89999985694885,1245.0000002384186,49.299999952316284,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,warm-directory-cache,warm,no-store,pure-js,chromium,1482.2000000476837,0,1482.2000000476837,1,255053,255053,0,1,1,255053,true,3,286166,3,1,2,0,26,3.799999952316284,5,13.200000047683716,26,26,1294.1999998092651,87.29999995231628,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,repeated-same-query,warm,no-store,pure-js,chromium,1374.2999999523163,0,1374.1999998092651,0,0,0,0,0,0,0,true,2,31113,2,1,2,7,19.399999856948853,2.5999999046325684,4.300000190734863,0,19.399999856948853,19.399999856948853,1247.5999999046326,53.299999952316284,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,nearby-pan-query,warm,no-store,pure-js,chromium,1526.7999999523163,0,1526.7999999523163,0,0,0,0,0,0,0,true,2,31113,2,1,2,7,19.799999952316284,2.8999998569488525,4.1000001430511475,0,19.799999952316284,19.799999952316284,1351.9000000953674,96.59999990463257,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,distant-random-query,warm,no-store,pure-js,chromium,1341.4000000953674,0,1341.4000000953674,0,0,0,0,0,0,0,true,2,31113,2,1,2,7,19.299999952316284,2.799999952316284,4.1000001430511475,0,19.299999952316284,19.299999952316284,1196.5,58.799999952316284,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,cold-library-transport-no-store,cold,no-store,wasm,chromium,1485.2999999523163,12.400000095367432,1458.0999999046326,4,294358,294358,0,4,4,294358,true,4,294358,4,1,0,0,6.5,0.6000001430511475,2.799999952316284,32.80000019073486,6.5,6.5,1288.5,63.40000009536743,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,cold-library-normal-http-cache,cold,default,wasm,chromium,1437.6000001430511,10.100000143051147,1420.3999998569489,4,294358,294358,0,4,4,294358,true,4,294358,4,1,0,0,6.799999952316284,0.7999999523162842,2.5,33.80000019073486,6.799999952316284,6.799999952316284,1250.6000001430511,59,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,warm-directory-cache,warm,no-store,wasm,chromium,1399.7999999523163,0,1399.7000000476837,1,255053,255053,0,1,1,255053,true,3,286166,3,1,2,0,2.5,0.2999999523162842,0.7000000476837158,13.700000047683716,2.5,2.5,1267.2999999523163,58.799999952316284,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,repeated-same-query,warm,no-store,wasm,chromium,1225.4000000953674,0,1225.4000000953674,0,0,0,0,0,0,0,true,2,31113,2,1,2,7,2.5,0.3000001907348633,0.5,0,2.5,2.5,1115.2000000476837,55.90000009536743,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
chm13-chr1-100k,retained-100kb-detailed,CHM13,chr1,1000000,1100000,100,nearby-pan-query,warm,no-store,wasm,chromium,1206.7000000476837,0,1206.7000000476837,0,0,0,0,0,0,0,true,2,31113,2,1,2,7,2.200000047683716,0.2999999523162842,0.5,0,2.200000047683716,2.200000047683716,1109,43.60000014305115,7,7311,2196,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,b191be02fc2a9556349d8b5b97b268c90c579b1c275cc600355bfaae5b499473,true,
